station_id,eva,gtfs_name,db_name,method,score
de:06411:4734_Parent,08000068,Darmstadt Hauptbahnhof,Darmstadt Hbf,timetable,1.0
de:06438:2705,08003523,Langen (Hessen) Bahnhof,Langen (Hess),timetable,1.0
de:06412:10_Parent,08000105,Frankfurt (Main) Hauptbahnhof,Frankfurt (Main) Hbf,timetable,1.0
de:06432:11251,08000948,Bickenbach Bahnhof,Bickenbach (Bergstr),timetable,1.0
de:06431:4526,08006687,"Zwingenberg, Bahnhof",Zwingenberg (Bergstr),timetable,1.0
de:06431:236_Parent,08000031,"Bensheim, Bahnhof",Bensheim,timetable,1.0
de:06431:1502_Parent,08002757,"Heppenheim, Bahnhof",Heppenheim (Bergstr),timetable,1.0
de:08226:1471_Parent,08002748,"Hemsbach, Bahnhof",Hemsbach,timetable,1.0
de:08226:4109_Parent,08000377,"Weinheim, Hauptbahnhof",Weinheim (Bergstr) Hbf,timetable,1.0
de:08226:1711_Parent,08003489,"Ladenburg, Bahnhof",Ladenburg,timetable,1.0
de:08222:2331_Parent,08000631,"Neu-Edingen/Friedrichsfeld, Bf",Neu-Edingen/Friedrichsfeld,timetable,1.0
de:08222:2417_Parent,08000244,"Mannheim, Hauptbahnhof",Mannheim Hbf,timetable,0.998
de:08222:2586,08003847,"MA-Seckenheim, Bahnhof",Mannheim-Seckenheim,timetable,1.0
de:08222:2641,08003841,"Mannheim, Arena/Maimarkt (DB)",Mannheim ARENA / Maimarkt,timetable,1.0
de:08226:1825,08003571,"Laudenbach, Bahnhof",Laudenbach (Bergstr),timetable,1.0
de:08226:4242,08006283,"Sulzbach, Bahnhof",Weinheim-Sulzbach,timetable,1.0
de:08226:4081,08003792,"Lützelsachsen, Bahnhof",Weinheim-Lützelsachsen,timetable,1.0
de:08226:1110_Parent,08002430,"Heddesheim-Hirschberg, Bf DB",Heddesheim/Hirschberg,timetable,1.0
de:06431:248,08000877,"Auerbach, Bahnhof",Bensheim-Auerbach,timetable,1.0
de:06432:11252,08002498,Alsbach Hähnlein-Alsbach Bahnhof,Hähnlein-Alsbach,timetable,1.0
de:06411:11321,08001379,Darmstadt-Eberstadt Bahnhof,Darmstadt-Eberstadt,timetable,1.0
de:06411:11320,08001377,Darmstadt Südbahnhof,Darmstadt Süd,timetable,1.0
de:08226:4252_Parent,08006421,"Wiesloch-Walldorf, Bf",Wiesloch-Walldorf,timetable,1.0
de:08226:1892_Parent,08005648,St. Ilgen-Sandhausen Bahnhof,St. Ilgen/Sandhausen,timetable,1.0
de:08221:1203_Parent,08002686,"Kirchheim/Rohrbach, Bf",Heidelberg-Kirchheim/Rohrbach,timetable,1.0
de:08221:1160_Parent,08000156,"Heidelberg, Hauptbahnhof",Heidelberg Hbf,timetable,1.0
de:08221:1454_Parent,08002687,HD-Pfaffengrund/Wieblingen,Heidelberg-Pfaffengrund/Wieblingen,timetable,1.0
de:06431:286_Parent,08000984,"Birkenau, Bahnhof",Birkenau,timetable,1.0
de:06431:303,08005026,"Reisen, Bahnhof",Reisen (Hess),timetable,1.0
de:06431:2886,08004066,"Mörlenbach, Bahnhof",Mörlenbach,timetable,1.0
de:06431:3366,08006672,"Zotzenbach, Bahnhof",Zotzenbach,timetable,1.0
de:06431:38890,08005100,"Rimbach, Schulzentrum Bf",Rimbach Schulzentrum,timetable,1.0
de:06431:3360_Parent,08005098,"Rimbach, Bahnhof",Rimbach,timetable,1.0
de:06431:891,08003731,"Lörzenbach-Fahrenbach, Bahnhof",Lörzenbach-Fahrenbach,timetable,1.0
de:06431:874,08002150,"Fürth, Bahnhof",Fürth (Odenw),timetable,1.0
de:07312:9035_Parent,08000189,"Kaiserslautern, Hbf",Kaiserslautern Hbf,timetable,1.0
de:07316:3144_Parent,08000275,"Neustadt, Hauptbahnhof",Neustadt (Weinstr) Hbf,timetable,0.995
de:07314:2019,08003759,"Ludwigshafen, Mitte",Ludwigshafen (Rhein) Mitte,timetable,0.997
de:07314:2080_Parent,08000236,"Ludwigshafen, Hauptbahnhof",Ludwigshafen (Rhein) Hbf,timetable,0.997
de:07311:771_Parent,08000332,"Frankenthal, Hauptbahnhof",Frankenthal Hbf,timetable,1.0
de:07319:4415_Parent,08000257,"Worms, Hauptbahnhof",Worms Hbf,timetable,1.0
de:08222:2416_Parent,08006508,"Mannheim, Handelshf./Jungbusch",Mannheim Handelshafen/Jungbusch,timetable,1.0
de:08222:2446_Parent,08006511,Neckarstadt West,Mannheim-Neckarstadt,timetable,1.0
de:08222:2386_Parent,08006509,Luzenberg,Mannheim-Luzenberg,timetable,1.0
de:08222:2615_Parent,08003848,"Waldhof, Bahnhof",Mannheim-Waldhof,timetable,1.0
de:06431:1771_Parent,08003503,"Lampertheim, Bahnhof",Lampertheim,timetable,1.0
de:06431:416_Parent,08098360,"Bürstadt, Bahnhof",Bürstadt (Ried),timetable,1.0
de:06431:410,08001034,"Bobstadt, Bahnhof",Bobstadt,timetable,1.0
de:06431:270_Parent,08000503,"Biblis, Bahnhof",Biblis,timetable,1.0
de:06431:990,08002391,"Groß-Rohrheim, Bahnhof",Groß Rohrheim,timetable,1.0
de:06433:11269_Parent,08002249,Gernsheim Bahnhof,Gernsheim,timetable,1.0
de:06433:11268,08000951,Biebesheim (Rhein) Bahnhof,Biebesheim,timetable,1.0
de:06433:11267,08005740,Stockstadt (Rhein) Bahnhof,Stockstadt (Rhein),timetable,1.0
de:06433:6802_Parent,08000126,Riedstadt-Goddelau Bahnhof,Riedstadt-Goddelau,timetable,1.0
de:06433:6801,08003605,Riedstadt-Wolfskehlen Bahnhof,Riedstadt-Wolfskehlen,timetable,1.0
de:06433:6899,08001511,Groß-Gerau Dornheim Bahnhof,Groß Gerau-Dornheim,timetable,1.0
de:06433:4801,08002386,Groß-Gerau Dornberg Bahnhof,Groß Gerau-Dornberg,timetable,1.0
de:06433:4899_Parent,08004065,Mörfelden-Walldorf-Mörfelden Bahnhof,Mörfelden,timetable,1.0
de:06433:2802_Parent,08006175,Mörfelden-Walldorf-Walldorf Bahnhof,Walldorf (Hess),timetable,1.0
de:06438:2801,08006648,Neu-Isenburg-Zeppelinheim Bahnhof,Zeppelinheim,timetable,1.0
de:06412:2899_Parent,08002040,Frankfurt (Main) Stadion,Frankfurt (Main) Stadion,timetable,1.0
de:06412:1830_Parent,08002050,Frankfurt (Main) Niederrad Bahnhof,Frankfurt (Main) Niederrad,timetable,1.0
de:06411:4720,08001375,Darmstadt Nordbahnhof,Darmstadt Nord,timetable,1.0
de:06411:11226,08001376,Darmstadt Ostbahnhof,Darmstadt Ost,timetable,1.0
de:06411:16027,08001386,Darmstadt TU-Lichtwiese Bahnhof,Darmstadt-Lichtwiese,timetable,1.0
gen:6432:384::,08004497,Ober-Ramstadt Bahnhof,Ober Ramstadt,timetable,1.0
de:06432:11229,08005020,Reinheim (Odw.) Bahnhof,Reinheim (Odenw),timetable,1.0
de:06432:11230,08003641,Otzberg-Lengfeld Bahnhof,Otzberg-Lengfeld,timetable,1.0
de:06432:11219_Parent,08000384,Groß-Umstadt-Wiebelsbach Bahnhof,Groß Umstadt-Wiebelsbach,timetable,1.0
de:06432:11227,08004350,Mühltal-Nieder-Ramstadt Mühltal Bahnhof,Mühltal,timetable,1.0
de:06437:11231,08002813,Höchst (Odw.) Hetschbach Bahnhof,Höchst-Hetschbach,timetable,1.0
de:06437:11220,08000172,Höchst (Odw.) Bahnhof,Höchst (Odenw),timetable,0.982
de:06437:11232,08004125,Höchst (Odw.) Mümling-Grumbach Bahnhof,Höchst Mümling-Grumbach,timetable,0.982
de:06437:11221,08000715,Bad König Bahnhof,Bad König,timetable,1.0
de:06437:11233,08006643,Bad König-Zell Bahnhof,Bad König-Zell,timetable,1.0
de:06437:11222_Parent,08004017,Michelstadt Bahnhof,Michelstadt,timetable,1.0
